Approach,object,type,data source,,training size,test size,run_time,accuracy,f1,tp,fp,fn,tn
direct_wordnet_100_labels_custom_Unaugmented_car,car,Transfer Network,custom,no,0,172,70.65711827,0.808139535,0.888888889,7,32,1,132
direct_wordnet_100_labels_custom_Unaugmented_car,car,Transfer Network,custom,no,0,172,71.06763776,0.808139535,0.888888889,7,32,1,132
own_network_custom_Unaugmented_car,car,own Network,custom,no,1816,172,351.5903585,0.488372093,0.572815534,25,14,74,59
direct_wordnet_100_labels_custom_Unaugmented_car,car,Transfer Network,custom,no,0,172,72.50464601,0.808139535,0.888888889,7,32,1,132
own_network_custom_Unaugmented_car,car,own Network,custom,no,1816,172,2609.379442,0.918604651,0.946564885,34,5,9,124
transfer_net_custom_Unaugmented_car,car,Transfer Network,custom,no,1816,172,1116.921821,0.947674419,0.965779468,36,3,6,127
indirect_wordnet_v3_50_labels_custom_Unaugmented_car,car,oob_network_eval,custom,no,0,172,1250.467113,0.854651163,0.902723735,31,8,17,116
indirect_wordnet_lasso_20_labels_custom_Unaugmented_car,car,oob_network_eval,custom,no,0,172,967.0137594,0.895348837,0.929133858,36,3,15,118
own_network_custom_Augmented_car,car,own Network,custom,no,19734,172,3646.107725,0.761627907,0.855123675,10,29,12,121
transfer_net_custom_Augmented_car,car,Transfer Network,custom,no,19734,172,9165.201192,0.848837209,0.904411765,23,16,10,123
direct_wordnet_100_labels_custom_Unaugmented_car,car,Transfer Network,custom,no,0,172,71.99084704,0.808139535,0.888888889,7,32,1,132
own_network_custom_Unaugmented_car,car,own Network,custom,no,1816,172,1665.231154,0.825581395,0.875,37,2,28,105
direct_wordnet_100_labels_custom_Unaugmented_car,car,Transfer Network,custom,no,0,172,71.20449225,0.808139535,0.888888889,7,32,1,132
own_network_custom_Unaugmented_car,car,own Network,custom,no,1816,172,1923.087854,0.825581395,0.87704918,35,4,26,107
transfer_net_custom_Unaugmented_car,car,Transfer Network,custom,no,1816,172,1146.580076,0.936046512,0.957854406,36,3,8,125
indirect_wordnet_v3_50_labels_custom_Unaugmented_car,car,oob_network_eval,custom,no,0,172,1249.119886,0.854651163,0.902723735,31,8,17,116
indirect_wordnet_lasso_20_labels_custom_Unaugmented_car,car,oob_network_eval,custom,no,0,172,970.3400318,0.895348837,0.929133858,36,3,15,118
own_network_custom_Augmented_car,car,own Network,custom,no,19734,172,578.4377662,0.296511628,0.219354839,34,5,116,17
transfer_net_custom_Augmented_car,car,Transfer Network,custom,no,19734,172,8936.721376,0.901162791,0.936802974,29,10,7,126
direct_wordnet_100_labels_custom_Unaugmented_car,car,Transfer Network,custom,no,0,172,71.2605441,0.808139535,0.888888889,7,32,1,132
own_network_custom_Unaugmented_car,car,own Network,custom,no,1816,172,474.6987381,0.331395349,0.267515924,36,3,112,21
transfer_net_custom_Unaugmented_car,car,Transfer Network,custom,no,1816,172,236.4739418,0.959302326,0.973584906,36,3,4,129
indirect_wordnet_v3_50_labels_custom_Unaugmented_car,car,oob_network_eval,custom,no,0,172,1243.572237,0.854651163,0.902723735,31,8,17,116
indirect_wordnet_lasso_20_labels_custom_Unaugmented_car,car,oob_network_eval,custom,no,0,172,969.3783567,0.895348837,0.929133858,36,3,15,118
own_network_custom_Augmented_car,car,own Network,custom,no,19734,172,3292.685038,0.75,0.844765343,12,27,16,117
transfer_net_custom_Augmented_car,car,Transfer Network,custom,no,19734,172,1103.084889,0.877906977,0.920754717,29,10,11,122
own_network_ImageNet_Unaugmented_car,car,own Network,ImageNet,no,2000,172,1315.371959,0.674418605,0.768595041,23,16,40,93
transfer_net_ImageNet_Unaugmented_car,car,Transfer Network,ImageNet,no,2000,172,1106.708718,0.825581395,0.892086331,18,21,9,124
indirect_wordnet_v3_50_labels_ImageNet_Unaugmented_car,car,oob_network_eval,ImageNet,no,0,172,1334.82128,0.854651163,0.900398406,34,5,20,113
indirect_wordnet_lasso_20_labels_ImageNet_Unaugmented_car,car,oob_network_eval,ImageNet,no,0,172,1058.797339,0.854651163,0.898785425,36,3,22,111
direct_wordnet_100_labels_custom_Unaugmented_car,car,Transfer Network,custom,no,0,172,72.0504436,0.808139535,0.888888889,7,32,1,132
own_network_custom_Unaugmented_car,car,own Network,custom,no,1816,172,427.0960178,0.308139535,0.21192053,37,2,117,16
transfer_net_custom_Unaugmented_car,car,Transfer Network,custom,no,1816,172,260.0569034,0.970930233,0.981273408,36,3,2,131
indirect_wordnet_v3_50_labels_custom_Unaugmented_car,car,oob_network_eval,custom,no,0,172,1240.353042,0.854651163,0.902723735,31,8,17,116
indirect_wordnet_lasso_20_labels_custom_Unaugmented_car,car,oob_network_eval,custom,no,0,172,969.9355258,0.895348837,0.929133858,36,3,15,118
own_network_custom_Augmented_car,car,own Network,custom,no,19734,172,905.1586286,0.273255814,0.149659864,36,3,122,11
transfer_net_custom_Augmented_car,car,Transfer Network,custom,no,19734,172,915.2064519,0.877906977,0.921933086,27,12,9,124
own_network_ImageNet_Unaugmented_car,car,own Network,ImageNet,no,2000,172,1823.926234,0.784883721,0.874576271,6,33,4,129
transfer_net_ImageNet_Unaugmented_car,car,Transfer Network,ImageNet,no,2000,172,324.130143,0.877906977,0.922509225,26,13,8,125
indirect_wordnet_v3_50_labels_ImageNet_Unaugmented_car,car,oob_network_eval,ImageNet,no,0,172,1350.503394,0.854651163,0.900398406,34,5,20,113
indirect_wordnet_lasso_20_labels_ImageNet_Unaugmented_car,car,oob_network_eval,ImageNet,no,0,172,1055.71594,0.854651163,0.898785425,36,3,22,111
own_network_ImageNet_Augmented_car,car,own Network,ImageNet,no,22000,172,2694.257111,0.779069767,0.872483221,4,35,3,130
transfer_net_ImageNet_Augmented_car,car,Transfer Network,ImageNet,no,22000,172,9934.363913,0.831395349,0.898954704,14,25,4,129